timestamp,ch1
1701530513.1209998,-7983.327863613113
1701530513.125,-8025.974992033839
1701530513.129,-8042.805855608685
1701530513.133,-8075.864085658084
1701530513.137,-8105.882478461562
1701530513.141,-8162.097115766659
1701530513.145,-8244.284480128823
1701530513.1490002,-8301.035559300848
1701530513.153,-8335.010210872913
1701530513.157,-8374.706909025539
1701530513.161,-8417.219926979533
1701530513.1650002,-8432.441464953597
1701530513.1690001,-8398.04213023688
1701530513.173,-8367.84492347776
1701530513.177,-8374.282225880888
1701530513.181,-8406.491089640986
1701530513.1850002,-8457.140142576713
1701530513.1890001,-8502.313018120887
1701530513.193,-8527.525785866474
1701530513.197,-8558.773524614993
1701530513.201,-8615.837528209393
1701530513.2050002,-8661.09981073139
1701530513.209,-8671.493371903107
1701530513.213,-8687.47486918865
1701530513.217,-8712.285305534042
1701530513.221,-8758.888692723358
1701530513.225,-8803.860402567436
1701530513.229,-8813.203431749753
1701530513.233,-8796.50667864164
1701530513.237,-8783.073280224
1701530513.241,-8798.048949009055
1701530513.2450001,-8813.114024771932
1701530513.249,-8776.725384798692
1701530513.253,-8752.1161141534
1701530513.257,-8758.799285745536
1701530513.261,-8806.721425857715
1701530513.265,-8859.337432305507
1701530513.269,-8893.781470511136
1701530513.273,-8916.803767300102
1701530513.277,-8915.462662632783
1701530513.281,-8904.599714827504
1701530513.285,-8910.277057919153
1701530513.289,-8864.32187131904
1701530513.293,-8838.259737284152
1701530513.297,-8839.109103573455
1701530513.3009999,-8812.376417204907
1701530513.3049998,-8779.854629022435
1701530513.309,-8740.739076225647
1701530513.313,-8671.873351558846
1701530513.317,-8644.04542971199
1701530513.3209999,-8642.592566322395
1701530513.325,-8659.468133386152
1701530513.329,-8627.460435326151
1701530513.333,-8600.012493135035
1701530513.337,-8573.749193400048
1701530513.3409998,-8558.92998682618
1701530513.345,-8538.098160993834
1701530513.349,-8503.475308832563
1701530513.353,-8478.486058531531
1701530513.3569999,-8482.554076022396
1701530513.3609998,-8493.797003483416
1701530513.365,-8488.499640047508
1701530513.369,-8452.513331474463
1701530513.373,-8446.344250004799
1701530513.377,-8441.873901113737
1701530513.381,-8451.015764595957
1701530513.385,-8462.213988568066
1701530513.3890002,-8464.091535102312
1701530513.3930001,-8509.577335068863
1701530513.397,-8543.373172685287
1701530513.401,-8575.894960867758
1701530513.4050002,-8625.314667858442
